model_num,tick,params,company_sales,company_tax,average_involvement_energy,max_involvement_energy,num_players,num_banned
1,0,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.72,10.0,100,0
1,1,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",101,0.0,6.833191883482659,10.0,109,0
1,2,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",104,0.0,6.1541798445849585,13.0,120,0
1,3,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",105,0.0,5.369233673822183,13.0,129,0
1,4,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",106,0.0,4.663701969195907,12.0,135,0
1,5,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",109,0.0,4.266009243759866,17.0,150,0
1,6,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",111,0.0,3.6529673509883223,16.0,161,0
1,7,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",115,0.0,3.355661587174806,18.0,169,0
1,8,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",116,0.0,3.2355097007551845,17.0,174,0
1,9,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",121,0.0,3.3170851932131478,22.0,172,0
1,10,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",123,0.0,3.529510667030344,21.0,166,0
2,0,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.28,10.0,100,0
2,1,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,6.38686020750572,10.0,108,0
2,2,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,5.502229281757575,10.0,119,0
2,3,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",102,0.0,4.8226620047013,10.0,133,0
2,4,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",105,0.0,4.341564937151475,10.0,150,0
2,5,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",108,0.0,3.9449454801063557,13.0,167,0
2,6,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",108,0.0,3.4973528841010744,12.0,182,0
2,7,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",110,0.0,3.1557087200987786,12.0,186,0
2,8,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",112,0.0,3.1861108993953913,11.0,186,0
2,9,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",113,0.0,3.2885640167558066,10.0,191,0
2,10,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",116,0.0,3.7003455052519896,10.0,179,0
3,0,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.45,10.0,100,0
3,1,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,6.651843160890674,10.0,111,0
3,2,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",103,0.03,5.955108500415134,11.0,120,0
3,3,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",104,0.04,5.2323181442080555,10.0,134,0
3,4,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",107,0.07,4.609195677710369,15.0,146,0
3,5,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",107,0.07,4.0335275338736,14.0,161,0
3,6,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",107,0.07,3.4921167337788925,13.0,176,0
3,7,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",110,0.09999999999999999,3.424233304636707,18.0,174,0
3,8,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",116,0.16,3.49034081788015,17.0,179,0
3,9,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",120,0.20000000000000004,3.4044842257772756,19.0,185,0
3,10,"{'tax_rate': 0.01, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",120,0.20000000000000004,3.597369916961861,18.0,177,0
4,0,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.21,10.0,100,0
4,1,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",101,0.01,6.364860738293946,11.0,110,0
4,2,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",102,0.02,5.657851661138445,13.0,120,0
4,3,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",102,0.02,4.995056608125817,12.0,133,0
4,4,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",103,0.03,4.2724177578264335,11.0,144,0
4,5,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",105,0.05,3.6615637956531213,10.0,155,0
4,6,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",106,0.060000000000000005,2.997026688934199,15.0,169,0
4,7,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",110,0.09999999999999999,2.8962844625176785,14.0,179,0
4,8,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",113,0.12999999999999998,2.8889255828772304,13.0,174,0
4,9,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",115,0.15,2.9562536616430513,15.0,168,0
4,10,"{'tax_rate': 0.01, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",117,0.17,2.938329265873945,14.0,159,0
5,0,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.45,10.0,100,0
5,1,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,6.6101901919144765,10.0,111,0
5,2,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",101,0.02,5.911983559532272,10.0,125,0
5,3,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",103,0.06,5.310188583346914,10.0,140,0
5,4,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",106,0.12000000000000001,4.668510147106154,11.0,152,0
5,5,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",109,0.18,4.111942380228795,10.0,168,0
5,6,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",112,0.23999999999999996,3.6281699034352246,15.0,184,0
5,7,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",112,0.23999999999999996,3.406175373663762,14.0,192,0
5,8,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",118,0.36000000000000004,3.2641753290032107,17.0,195,0
5,9,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",124,0.48000000000000015,3.4167438055098236,17.0,196,0
5,10,"{'tax_rate': 0.02, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",125,0.5000000000000001,3.413069612618384,16.0,194,0
6,0,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.31,10.0,100,0
6,1,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",101,0.02,6.546897256065172,10.0,110,0
6,2,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",102,0.04,5.721462577877928,11.0,116,0
6,3,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",103,0.06,5.045381116580221,10.0,126,0
6,4,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",104,0.08,4.444210335523255,10.0,138,0
6,5,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",107,0.14,3.805652885371321,13.0,149,0
6,6,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",108,0.16,3.4105371632335326,12.0,167,0
6,7,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",110,0.19999999999999998,3.430338410620178,13.0,174,0
6,8,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",110,0.19999999999999998,3.2814383748161715,12.0,176,0
6,9,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",112,0.23999999999999996,3.4264105178835758,14.0,168,0
6,10,"{'tax_rate': 0.02, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",114,0.27999999999999997,3.388843801832706,13.0,169,0
